text,label
"Congratulations! You have won Rs 25,00,000 in the KBC lottery. To claim, contact us on WhatsApp and pay the processing fee",scam
"Earn Rs 3000-8000 daily from home by liking YouTube videos. Part time job, no experience needed. Reply YES on WhatsApp",scam
"Your Paytm KYC has expired. Your wallet will be blocked in 24 hours. Call 91234 56789 to complete KYC now",scam
"FedEx: a parcel in your name contains illegal items. A Mumbai police case is registered. Press 1 to speak to the officer",scam
"Income tax refund of Rs 15,490 approved. Submit your bank details at http://incometax-refund-in.com to receive it",scam
"Your credit card reward points worth Rs 7,850 expire today. Redeem now: http://rewardz-sbicard.in",scam
"Dear user, your Aadhaar is linked to illegal activity. Call the CBI officer immediately or face arrest",scam
"You are selected for an Amazon work from home job, salary Rs 45,000/month. Pay Rs 1,500 registration fee to join",scam
"Your SIM card will be deactivated in 2 hours because KYC is not verified. Call customer care 98765 43210 now",scam
"Last warning: your loan EMI is overdue. Pay now at http://quickloan-pay.in or legal action will be taken today",scam
"You have received Rs 5,000 from an unknown sender. Enter your UPI PIN to accept the money",scam
"Hi mom, I lost my phone and this is my new number. Please send Rs 10,000 urgently to this UPI ID, will explain later",scam
"Your Netflix subscription is on hold. Update your payment details: http://netflix-billing-help.com",scam
"Get a pre-approved personal loan of Rs 5 lakh in 5 minutes. No documents needed. Click http://instaloan.click",scam
"Your gas connection will be cut today due to pending KYC. Call 91234 56789 immediately",scam
"Customs duty is pending for your international parcel. Pay Rs 2,499 at http://customs-clearance.top to release it",scam
"Congratulations, your mobile number won an iPhone 15 in the Flipkart lucky draw. Pay Rs 999 delivery charge to claim",scam
"URGENT: someone tried to log in to your bank account. Share the OTP sent to you with our executive to block it",scam
"Crypto trading: double your money in 7 days, guaranteed returns. Join our Telegram group now",scam
"Your traffic challan of Rs 2,000 is pending. Pay now to avoid a court case: http://echallan-pay.info",scam
"Dear customer, your debit card is blocked. Reactivate it by sharing your card number and CVV with our officer",scam
"Your Amazon Pay account is suspended due to suspicious activity. Verify now at http://amzn-pay-verify.top",scam
"Dear customer, you are eligible for a Rs 20,000 credit limit increase. Share the OTP to activate it",scam
"Govt scheme: get Rs 6,000 in your account under PM Kisan. Register at http://pmkisan-apply.in with your bank details",scam
"You have a pending DHL delivery. Pay the Rs 49 redelivery fee at http://dhl-redeliver.info",scam
"Your WhatsApp will be banned in 24 hours. Verify your account by sending us the code you just received",scam
"Investment offer: earn 5% daily returns with our stock tips app. Limited seats, join now",scam
